mapping,ordering,global_masking_rate,entropy,A->C,A->G,A->T,C->A,C->G,C->T,G->A,G->C,G->T,T->A,T->C,T->G
110,13_001,0.432161,3.827528,0.403906,0.462500,0.460938,0.403906,0.329688,0.542188,0.462500,0.329688,0.393750,0.460938,0.542188,0.393750
110,13_010,0.541927,3.208659,0.587500,0.460156,0.652344,0.587500,0.478125,0.604688,0.460156,0.478125,0.468750,0.652344,0.604688,0.468750
110,13_011,0.494922,3.436236,0.607812,0.399219,0.567969,0.607812,0.382812,0.612500,0.399219,0.382812,0.399219,0.567969,0.612500,0.399219
110,13_100,0.514193,3.270118,0.495313,0.502344,0.435156,0.495313,0.610938,0.514062,0.502344,0.610938,0.527344,0.435156,0.514062,0.527344
110,13_101,0.490495,3.482495,0.367188,0.411719,0.425000,0.367188,0.550781,0.596094,0.411719,0.550781,0.592187,0.425000,0.596094,0.592187
110,13_110,0.558724,3.093381,0.557813,0.476562,0.543750,0.557813,0.571875,0.636719,0.476562,0.571875,0.565625,0.543750,0.636719,0.565625
110,13_codon,0.535026,3.173680,0.577344,0.476562,0.595313,0.577344,0.474219,0.573438,0.476562,0.474219,0.513281,0.595313,0.573438,0.513281
110,14,0.393880,3.823416,0.403125,0.419531,0.382812,0.403125,0.400781,0.384375,0.419531,0.400781,0.372656,0.382812,0.384375,0.372656
110,14_001,0.424089,3.876313,0.412500,0.459375,0.533594,0.412500,0.440625,0.326562,0.459375,0.440625,0.371875,0.533594,0.326562,0.371875
110,14_010,0.513672,3.288527,0.547656,0.427344,0.696094,0.547656,0.426562,0.552344,0.427344,0.426562,0.432031,0.696094,0.552344,0.432031
110,14_011,0.466797,3.541950,0.450000,0.426562,0.664844,0.450000,0.399219,0.439844,0.426562,0.399219,0.420312,0.664844,0.439844,0.420312
110,14_100,0.525781,3.256647,0.449219,0.454688,0.450781,0.449219,0.629687,0.583594,0.454688,0.629687,0.586719,0.450781,0.583594,0.586719
110,14_101,0.447005,3.776633,0.475781,0.429688,0.378125,0.475781,0.453125,0.405469,0.429688,0.453125,0.539844,0.378125,0.405469,0.539844
110,14_110,0.546484,3.164455,0.549219,0.494531,0.564063,0.549219,0.528125,0.581250,0.494531,0.528125,0.561719,0.564063,0.581250,0.561719
110,14_codon,0.552083,3.152429,0.525781,0.573438,0.619531,0.525781,0.485156,0.547656,0.573438,0.485156,0.560937,0.619531,0.547656,0.560937
